team1,team2,date,year,time,place,toss_winner,toss_decision,winner,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,28-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians,bowl,Mumbai Indians,1,,,9,12
CHENNAI SUPER KINGS,KINGS XI PUNJAB,31-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Kings XI Punjab,bat,Chennai Super Kings,0,,,9,31
ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,3-May-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"The Wanderers Stadium, Johannesburg",Mumbai Indians,bat,Royal Challengers Bangalore,0,,,9,11
DELHI CAPITALS,KOLKATA KNIGHT RIDERS,5-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Kingsmead, Durban",Kolkata Knight Riders,bat,Delhi Capitals,0,,,9,6
RAJASTHAN ROYALS,KINGS XI PUNJAB,7-Apr-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Kings XI Punjab,bat,Rajasthan Royals,0,,,9,30
CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,13-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Kolkata Knight Riders,bat,Chennai Super Kings,0,,,9,39
KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,19-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Mumbai Indians,bat,Kolkata Knight Riders,0,,,9,15
ROYAL CHALLENGERS BANGALORE,DECCAN CHARGERS,24-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,bat,Royal Challengers Bangalore,0,,,9,37
ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,12-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians,bowl,Mumbai Indians,1,,,9,
RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,15-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,9,
KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,22-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,9,
ROYAL CHALLENGERS BANGALORE,KOCHI TUSKERS KERALA,8-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,0,,,9,
RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE,11-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,9,
MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,9-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,9,
DECCAN CHARGERS,DELHI CAPITALS,10-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers,bat,Delhi Capitals,0,,,9,
CHENNAI SUPER KINGS,DELHI CAPITALS,12-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bowl,Chennai Super Kings,1,,,9,
DELHI CAPITALS,MUMBAI INDIANS,21-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Mumbai Indians,bat,Delhi Capitals,0,,,9,
RAJASTHAN ROYALS,DELHI CAPITALS,7-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,bat,Rajasthan Royals,0,,,9,
KINGS XI PUNJAB,KOLKATA KNIGHT RIDERS,11-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Barabati Stadium, Cuttack",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,9,
RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE,24-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,9,
DELHI CAPITALS,KINGS XI PUNJAB,1-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Delhi Capitals,1,,,9,
SUNRISERS HYDERABAD,MUMBAI INDIANS,17-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bat,Mumbai Indians,0,,,9,
MUMBAI INDIANS,Rising Pune Supergiants,9-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Rising Pune Supergiants,0,,,9,
KOLKATA KNIGHT RIDERS,DELHI CAPITALS,10-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,9,
KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,16-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,9,
SUNRISERS HYDERABAD,GUJARAT LIONS,9-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,9,
Rising Pune Supergiants,KINGS XI PUNJAB,14-May-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiants,bowl,Rising Pune Supergiants,1,,,9,
SUNRISERS HYDERABAD,RAJASTHAN ROYALS,9-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,9,
KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB,21-Apr-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kings XI Punjab,bowl,Kings XI Punjab,1,,,9,
DELHI CAPITALS,SUNRISERS HYDERABAD,10-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Sunrisers Hyderabad,0,,,9,
SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,21-Apr-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,9,
MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,5-May-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,9,
CHENNAI SUPER KINGS,DELHI CAPITALS,2-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Delhi Capitals,0,,,8,6
RAJASTHAN ROYALS,CHENNAI SUPER KINGS,4-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,bat,Rajasthan Royals,0,,,8,34
RAJASTHAN ROYALS,DECCAN CHARGERS,9-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Rajasthan Royals,1,,,8,24
MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,16-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,8,87
DECCAN CHARGERS,KOLKATA KNIGHT RIDERS,19-Apr-09,2009,04:50 PM GMT / 06:50 PM LOCAL,"Newlands, Cape Town",Kolkata Knight Riders,bat,Deccan Chargers,0,,,8,41
KINGS XI PUNJAB,MUMBAI INDIANS,12-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",Kings XI Punjab,bat,Mumbai Indians,0,,,8,22
ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,16-Mar-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab,bat,Royal Challengers Bangalore,0,,,8,7
RAJASTHAN ROYALS,DECCAN CHARGERS,26-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",Deccan Chargers,bat,Rajasthan Royals,0,,,8,26
KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB,4-Apr-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Kings XI Punjab,0,,,8,10
KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,17-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Rajasthan Royals,bat,Kolkata Knight Riders,0,,,8,23
DECCAN CHARGERS,RAJASTHAN ROYALS,9-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals,bowl,Rajasthan Royals,1,,,8,
DELHI CAPITALS,MUMBAI INDIANS,10-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Mumbai Indians,0,,,8,
MUMBAI INDIANS,KOCHI TUSKERS KERALA,15-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Kochi Tuskers Kerala,bowl,Kochi Tuskers Kerala,1,,,8,
DECCAN CHARGERS,KINGS XI PUNJAB,16-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Kings XI Punjab,bowl,Kings XI Punjab,1,,,8,
KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,17-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,8,
RAJASTHAN ROYALS,KOCHI TUSKERS KERALA,24-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Rajasthan Royals,1,,,8,
PUNE WARRIORS,CHENNAI SUPER KINGS,27-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Pune Warriors,bat,Chennai Super Kings,0,,,8,
KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB,30-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,8,
CHENNAI SUPER KINGS,RAJASTHAN ROYALS,4-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Rajasthan Royals,bat,Chennai Super Kings,0,,,8,
KOCHI TUSKERS KERALA,RAJASTHAN ROYALS,15-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Holkar Cricket Stadium, Indore",Kochi Tuskers Kerala,bowl,Kochi Tuskers Kerala,1,,,8,
ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,22-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,8,
CHENNAI SUPER KINGS,MUMBAI INDIANS,4-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Mumbai Indians,bowl,Mumbai Indians,1,,,8,
KOLKATA KNIGHT RIDERS,DELHI CAPITALS,5-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Delhi Capitals,bowl,Delhi Capitals,1,,,8,
DELHI CAPITALS,CHENNAI SUPER KINGS,10-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Delhi Capitals,1,,,8,
KINGS XI PUNJAB,KOLKATA KNIGHT RIDERS,18-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bat,Kolkata Knight Riders,0,,,8,
PUNE WARRIORS,DELHI CAPITALS,24-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors,bat,Delhi Capitals,0,,,8,
PUNE WARRIORS,KINGS XI PUNJAB,7-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors,bat,Kings XI Punjab,0,,,8,
ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,11-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,8,
RAJASTHAN ROYALS,SUNRISERS HYDERABAD,27-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,bat,Rajasthan Royals,0,,,8,
KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,3-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Rajasthan Royals,bat,Kolkata Knight Riders,0,,,8,
KINGS XI PUNJAB,RAJASTHAN ROYALS,9-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rajasthan Royals,bowl,Rajasthan Royals,1,,,8,
DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE,17-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,8,
DELHI CAPITALS,CHENNAI SUPER KINGS,5-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,bowl,Chennai Super Kings,1,,,8,
DELHI CAPITALS,KOLKATA KNIGHT RIDERS,7-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Kolkata Knight Riders,0,,,8,
DELHI CAPITALS,SUNRISERS HYDERABAD,10-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,8,
KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS,20-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,8,
ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,24-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bowl,Chennai Super Kings,1,,,8,
ROYAL CHALLENGERS BANGALORE,SUNRISERS HYDERABAD,13-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,8,
RAJASTHAN ROYALS,CHENNAI SUPER KINGS,19-Apr-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",Chennai Super Kings,bat,Rajasthan Royals,0,,,8,
DELHI CAPITALS,KINGS XI PUNJAB,15-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Delhi Capitals,1,,,8,
SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,16-Apr-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,,,8,
Rising Pune Supergiants,MUMBAI INDIANS,1-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,bowl,Mumbai Indians,1,,,8,
GUJARAT LIONS,DELHI CAPITALS,3-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",Delhi Capitals,bowl,Delhi Capitals,1,,,8,
KOLKATA KNIGHT RIDERS,Rising Pune Supergiants,14-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Rising Pune Supergiants,bat,Kolkata Knight Riders,0,,,8,
KINGS XI PUNJAB,ROYAL CHALLENGERS BANGALORE,10-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Holkar Cricket Stadium, Indore",Royal Challengers Bangalore,bat,Kings XI Punjab,0,,,8,
KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB,13-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,8,
KINGS XI PUNJAB,MUMBAI INDIANS,20-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Holkar Cricket Stadium, Indore",Mumbai Indians,bowl,Mumbai Indians,1,,,8,
GUJARAT LIONS,SUNRISERS HYDERABAD,13-May-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Green Park, Kanpur",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,8,
CHENNAI SUPER KINGS,MUMBAI INDIANS,28-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,bowl,Mumbai Indians,1,,,8,
CHENNAI SUPER KINGS,SUNRISERS HYDERABAD,13-May-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bowl,Chennai Super Kings,1,,,8,
CHENNAI SUPER KINGS,SUNRISERS HYDERABAD,27-May-18,2018,01:30 PM GMT / 07:00 PM LOCAL,"Wankhede Stadium, Mumbai",Chennai Super Kings,bowl,Chennai Super Kings,1,,,8,
KINGS XI PUNJAB,MUMBAI INDIANS,30-Mar-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Kings XI Punjab,1,,,8,
RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,7-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,8,
KINGS XI PUNJAB,ROYAL CHALLENGERS BANGALORE,13-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,8,
ROYAL CHALLENGERS BANGALORE,RAJASTHAN ROYALS,26-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,bowl,Rajasthan Royals,1,,,7,17
KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,29-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Mumbai Indians,0,,,7,8
DECCAN CHARGERS,KINGS XI PUNJAB,1-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Kings XI Punjab,bowl,Kings XI Punjab,1,,,7,7
CHENNAI SUPER KINGS,DECCAN CHARGERS,6-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Deccan Chargers,bowl,Deccan Chargers,1,,,7,12
MUMBAI INDIANS,RAJASTHAN ROYALS,7-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,7,29
DECCAN CHARGERS,CHENNAI SUPER KINGS,27-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers,bat,Chennai Super Kings,0,,,7,4
ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,24-Apr-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Kingsmead, Durban",Royal Challengers Bangalore,bat,Kings XI Punjab,0,,,7,6
ROYAL CHALLENGERS BANGALORE,RAJASTHAN ROYALS,7-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"SuperSport Park, Centurion",Rajasthan Royals,bowl,Rajasthan Royals,1,,,7,30
DELHI CAPITALS,MUMBAI INDIANS,8-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Buffalo Park, East London",Mumbai Indians,bat,Delhi Capitals,0,,,7,7
CHENNAI SUPER KINGS,RAJASTHAN ROYALS,9-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Diamond Oval, Kimberley",Rajasthan Royals,bat,Chennai Super Kings,0,,,7,10
DELHI CAPITALS,KOLKATA KNIGHT RIDERS,10-May-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"The Wanderers Stadium, Johannesburg",Delhi Capitals,bowl,Delhi Capitals,1,,,7,17
CHENNAI SUPER KINGS,MUMBAI INDIANS,16-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"St George's Park, Port Elizabeth",Mumbai Indians,bat,Chennai Super Kings,0,,,7,5
CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,18-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",Chennai Super Kings,bat,Kolkata Knight Riders,0,,,7,0
ROYAL CHALLENGERS BANGALORE,DELHI CAPITALS,19-May-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"The Wanderers Stadium, Johannesburg",Delhi Capitals,bat,Royal Challengers Bangalore,0,,,7,6
KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,14-Mar-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,7,4
MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,20-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Mumbai Indians,bat,Royal Challengers Bangalore,0,,,7,5
MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,22-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Kolkata Knight Riders,bat,Mumbai Indians,0,,,7,9
ROYAL CHALLENGERS BANGALORE,DECCAN CHARGERS,8-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers,bowl,Deccan Chargers,1,,,7,4
ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,10-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,7,17
DELHI CAPITALS,KINGS XI PUNJAB,11-Apr-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Kings XI Punjab,0,,,7,8
PUNE WARRIORS,KINGS XI PUNJAB,10-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Kings XI Punjab,bat,Pune Warriors,0,,,7,
KOCHI TUSKERS KERALA,CHENNAI SUPER KINGS,18-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Nehru Stadium, Kochi",Kochi Tuskers Kerala,bowl,Kochi Tuskers Kerala,1,,,7,
MUMBAI INDIANS,PUNE WARRIORS,20-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Pune Warriors,bat,Mumbai Indians,0,,,7,
RAJASTHAN ROYALS,MUMBAI INDIANS,29-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Rajasthan Royals,1,,,7,
DELHI CAPITALS,KOCHI TUSKERS KERALA,2-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Kochi Tuskers Kerala,bowl,Kochi Tuskers Kerala,1,,,7,
PUNE WARRIORS,KOLKATA KNIGHT RIDERS,19-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,7,
KINGS XI PUNJAB,PUNE WARRIORS,12-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Kings XI Punjab,1,,,7,
PUNE WARRIORS,CHENNAI SUPER KINGS,14-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat,Pune Warriors,0,,,7,
MUMBAI INDIANS,DELHI CAPITALS,16-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Delhi Capitals,bowl,Delhi Capitals,1,,,7,
CHENNAI SUPER KINGS,RAJASTHAN ROYALS,21-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Rajasthan Royals,bat,Chennai Super Kings,0,,,7,
PUNE WARRIORS,RAJASTHAN ROYALS,8-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors,bat,Rajasthan Royals,0,,,7,
ROYAL CHALLENGERS BANGALORE,SUNRISERS HYDERABAD,9-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,bat,Royal Challengers Bangalore,0,,,7,
PUNE WARRIORS,RAJASTHAN ROYALS,11-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals,bat,Pune Warriors,0,,,7,
ROYAL CHALLENGERS BANGALORE,RAJASTHAN ROYALS,20-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,7,
KINGS XI PUNJAB,PUNE WARRIORS,21-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Kings XI Punjab,1,,,7,
SUNRISERS HYDERABAD,MUMBAI INDIANS,1-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians,bat,Sunrisers Hyderabad,0,,,7,
